Morbidity Week,Year
5,2021
12,2021
47,2021
22,2022
16,2022
33,2022
34,2022
35,2022
36,2022
36,2022
37,2022
39,2022
40,2022
38,2022
39,2022
40,2022
41,2022
41,2022
41,2022
40,2022
41,2022
42,2022
42,2022
44,2022
44,2022
43,2022
44,2022
45,2022
44,2022
44,2022
44,2022
44,2022
45,2022
46,2022
46,2022
47,2022
47,2022
46,2022
47,2022
46,2022
46,2022
47,2022
47,2022
49,2022
51,2023
51,2023
51,2023
51,2023
48,2023
47,2023
46,2023
46,2023
4,2023
44,2023
36,2023
30,2023
25,2023
22,2023
26,2023
25,2023
25,2023
25,2023
21,2023
23,2023
22,2023
22,2023
21,2023
21,2023
21,2023
20,2023
21,2023
20,2023
19,2023
18,2023
17,2023
17,2023
17,2023
16,2023
14,2023
15,2023
15,2023
14,2023
9,2023
7,2023
2,2024
30,2024
29,2024
27,2024
23,2024
23,2024
19,2024
16,2024
17,2024
16,2024
13,2024
13,2024
11,2024
12,2024
10,2024
7,2024
7,2024
4,2024
7,2024
7,2024
6,2024
3,2024
4,2024
4,2024
5,2024
5,2024
4,2024
3,2024
2,2024
2,2024
2,2024
1,2024
